x,y
0,4640
1,4695
2,4594
3,4658
4,4668
5,4682
6,4741
7,4725
8,4728
9,4710
10,4737
11,4741
12,4660
13,4651
14,4641
15,4624
16,4679
17,4613
18,4604
19,4649
20,4657
21,4593
22,4633
23,4648
24,4645
25,4647
26,4666
27,4625
28,4722
29,4771
30,4709
31,4678
32,4766
33,4752
34,4673
35,4664
36,4681
37,4600
38,4641
39,4688
40,4510
41,4521
42,4533
43,4466
44,4383
45,4378
46,4404
47,4356
48,4382
49,4402
50,4383
51,4470
52,4514
53,4537
54,4533
55,4665
56,4655
57,4613
58,4662
59,4661
60,4625
61,4652
62,4616
63,4517
64,4542
65,4476
66,4433
67,4406
68,4376
69,4369
70,4397
71,4374
72,4382
73,4420
74,4500
75,4541
76,4486
77,4629
78,4660
79,4603
80,4662
81,4676
82,4622
83,4634
84,4658
85,4567
86,4503
87,4548
88,4466
89,4398
90,4391
91,4395
92,4343
93,4396
94,4389
95,4385
96,4443
97,4513
98,4565
99,4491
