x,y
0,4282
1,4597
2,4657
3,5016
4,4612
5,4589
6,4433
7,4192
8,4649
9,4557
10,4857
11,4452
12,4646
13,4996
14,4336
15,4376
16,4682
17,4348
18,4767
19,4561
20,4550
21,4431
22,4613
23,4536
24,4290
25,4745
26,4368
27,4962
28,4797
29,4554
30,4660
31,4357
32,4646
33,4370
34,4887
35,4476
36,4296
37,4606
38,4372
39,4850
40,4440
41,5002
42,4100
43,4808
44,4138
45,4826
46,5040
47,4266
48,4719
49,4456
50,4731
51,4563
52,4045
53,4588
54,4399
55,4788
56,4845
57,4640
58,4564
59,4564
60,4287
61,4838
62,4328
63,4513
64,4432
65,4800
66,4518
67,5066
68,4357
69,4476
70,4352
71,4453
72,4437
73,4797
74,4287
75,5062
76,4285
77,4622
78,4601
79,4480
80,4741
81,4428
82,4624
83,4886
84,4104
85,4662
86,3880
87,5484
88,4667
89,4351
90,4310
91,4699
92,4632
93,4804
94,4428
95,4699
96,4810
97,4220
98,4793
99,4270
