x,y
0,4464
1,4649
2,4594
3,4573
4,4556
5,4616
6,4538
7,4635
8,4575
9,4507
10,4460
11,4518
12,4568
13,4575
14,4487
15,4550
16,4801
17,4619
18,4724
19,4704
20,4495
21,4434
22,4583
23,4542
24,4529
25,4547
26,4376
27,4649
28,4735
29,4654
30,4635
31,4641
32,4606
33,4499
34,4496
35,4501
36,4544
37,4468
38,4659
39,4607
40,4533
41,4443
42,4529
43,4548
44,4730
45,4490
46,4549
47,4606
48,4587
49,4632
50,4593
51,4502
52,4540
53,4588
54,4668
55,4572
56,4570
57,4522
58,4446
59,4489
60,4673
61,4659
62,4727
63,4547
64,4597
65,4622
66,4610
67,4564
68,4546
69,4482
70,4519
71,4649
72,4700
73,4699
74,4540
75,4629
76,4726
77,4560
78,4519
79,4536
80,4498
81,4443
82,4461
83,4673
84,4518
85,4597
86,4615
87,4514
88,4597
89,4482
90,4556
91,4468
92,4678
93,4577
94,4431
95,4623
96,4559
97,4521
98,4502
99,4509
