x,y
0,4664
1,4608
2,4643
3,4681
4,4670
5,4589
6,4661
7,4688
8,4506
9,4531
10,4635
11,4534
12,4361
13,4504
14,4571
15,4339
16,4422
17,4565
18,4460
19,4364
20,4528
21,4535
22,4330
23,4476
24,4547
25,4412
26,4463
27,4603
28,4577
29,4497
30,4644
31,4664
32,4608
33,4643
34,4681
35,4670
36,4589
37,4661
38,4700
39,4588
40,4615
41,4725
42,4690
43,4535
44,4665
45,4726
46,4492
47,4513
48,4643
49,4532
50,4365
51,4520
52,4547
53,4333
54,4458
55,4553
56,4428
57,4444
58,4606
59,4591
60,4480
61,4644
62,4681
63,4594
64,4637
65,4699
66,4665
67,4585
68,4672
69,4682
70,4598
71,4629
72,4703
73,4680
74,4562
75,4663
76,4707
77,4499
78,4522
79,4639
80,4533
81,4363
82,4512
83,4559
84,4336
85,4440
86,4559
87,4444
88,4425
89,4609
90,4605
91,4463
92,4644
93,4698
94,4580
95,4631
96,4717
97,4660
98,4581
99,4683
