x,y
0,2179
1,1903
2,2638
3,2332
4,2765
5,3661
6,4729
7,5503
8,6005
9,6821
10,7035
11,6831
12,6599
13,5513
14,4747
15,3999
16,2939
17,2746
18,2359
19,1854
20,1963
21,2478
22,2312
23,2413
24,3049
25,3531
26,4695
27,6245
28,6992
29,7316
30,7402
31,7774
32,6828
33,6298
34,5833
35,4429
36,3822
37,3474
38,2874
39,2592
40,2586
41,2615
42,2964
43,3463
44,3824
45,4307
46,5815
47,6222
48,6954
49,8011
50,7773
51,7590
52,7726
53,7032
54,5676
55,4624
56,3612
57,2831
58,2665
59,2698
60,2525
61,2662
62,3060
63,3215
64,3260
65,4592
66,5219
67,5597
68,7106
69,7541
70,7595
71,7364
72,6798
73,6274
74,5461
75,4313
76,3369
77,2990
78,2496
79,2019
80,2436
81,2583
82,2273
83,2656
84,3589
85,4294
86,4845
87,6180
88,6666
89,6815
90,7165
91,7198
92,6695
93,5973
94,5188
95,4330
96,3660
97,2332
98,1962
99,2214
