x,y
0,2874
1,3939
2,3384
3,2943
4,3457
5,3876
6,4769
7,5424
8,6736
9,6131
10,4578
11,6871
12,5810
13,5253
14,5404
15,6792
16,4255
17,4988
18,5588
19,4094
20,4157
21,3268
22,3570
23,3872
24,4081
25,4140
26,5009
27,5023
28,5034
29,5311
30,6147
31,5144
32,5091
33,5695
34,5873
35,4511
36,4108
37,3599
38,4428
39,4719
40,4176
41,3515
42,3114
43,2829
44,3479
45,4285
46,3133
47,5765
48,6686
49,5227
50,4282
51,5584
52,6609
53,5861
54,4992
55,4121
56,3716
57,4589
58,4532
59,4342
60,4208
61,4669
62,3169
63,2512
64,2530
65,4088
66,5213
67,5325
68,5148
69,5360
70,4935
71,4875
72,5176
73,5412
74,6267
75,4780
76,3573
77,3556
78,3877
79,4712
80,3652
81,2975
82,3527
83,4297
84,4553
85,3568
86,4023
87,4721
88,5839
89,5074
90,5265
91,4934
92,5270
93,5326
94,5375
95,3720
96,3597
97,4048
98,3643
99,3401
