x,y
0,3865
1,4295
2,4486
3,4278
4,3958
5,4002
6,4513
7,4465
8,5100
9,5133
10,4942
11,4534
12,5180
13,5282
14,4483
15,4664
16,4882
17,5133
18,4609
19,4677
20,5003
21,4609
22,5009
23,4364
24,4292
25,3631
26,4415
27,4669
28,4351
29,3798
30,4065
31,4268
32,3758
33,4290
34,3926
35,3768
36,3972
37,3969
38,4241
39,3947
40,3915
41,5005
42,4747
43,4634
44,4269
45,4561
46,5067
47,4895
48,4601
49,4663
50,4574
51,4604
52,4714
53,4860
54,4443
55,4701
56,4914
57,4273
58,3702
59,4252
60,4371
61,4624
62,4193
63,3881
64,4134
65,4041
66,2954
67,3005
68,3179
69,2915
70,2996
71,3015
72,3403
73,4545
74,5113
75,5195
76,4946
77,4837
78,4195
79,4619
80,5021
81,5509
82,6385
83,6422
84,6205
85,5744
86,5645
87,6352
88,5813
89,5659
90,4788
91,5102
92,4888
93,5125
94,5490
95,5226
96,5128
97,5339
98,4902
99,3852
