x,y
0,4632
1,4490
2,4628
3,4926
4,4296
5,4678
6,4309
7,4543
8,4561
9,4675
10,4541
11,4595
12,4766
13,4788
14,4589
15,4265
16,4689
17,4293
18,4777
19,4665
20,4588
21,4506
22,4258
23,4311
24,4781
25,4774
26,4330
27,4733
28,4745
29,4603
30,4571
31,4606
32,4668
33,4402
34,4821
35,4353
36,4518
37,4459
38,4563
39,4782
40,4413
41,4562
42,4331
43,5023
44,4358
45,4788
46,4690
47,4373
48,4536
49,4674
50,4646
51,4803
52,4233
53,4481
54,4575
55,4364
56,4939
57,4205
58,4931
59,4640
60,4554
61,4642
62,4251
63,4832
64,4406
65,4772
66,4534
67,4479
68,4454
69,4529
70,4669
71,4257
72,4792
73,4842
74,4188
75,4812
76,4390
77,4786
78,4498
79,4660
80,4554
81,4211
82,5057
83,4557
84,4340
85,4471
86,4119
87,4851
88,5045
89,4348
90,4243
91,4656
92,4463
93,4831
94,4379
95,4724
96,4920
97,4007
98,5177
99,4033
