x,y
0,4546
1,4626
2,4580
3,4602
4,4603
5,4647
6,4502
7,4584
8,4634
9,4617
10,4523
11,4581
12,4480
13,4501
14,4530
15,4513
16,4699
17,4627
18,4670
19,4658
20,4464
21,4553
22,4587
23,4579
24,4529
25,4639
26,4441
27,4606
28,4735
29,4538
30,4511
31,4654
32,4597
33,4524
34,4470
35,4460
36,4526
37,4608
38,4554
39,4679
40,4544
41,4508
42,4580
43,4532
44,4752
45,4420
46,4613
47,4581
48,4520
49,4577
50,4632
51,4592
52,4440
53,4558
54,4682
55,4605
56,4523
57,4478
58,4404
59,4514
60,4555
61,4648
62,4724
63,4578
64,4545
65,4649
66,4664
67,4629
68,4497
69,4468
70,4473
71,4632
72,4673
73,4583
74,4602
75,4576
76,4638
77,4681
78,4499
79,4501
80,4484
81,4521
82,4420
83,4671
84,4526
85,4658
86,4633
87,4645
88,4549
89,4486
90,4545
91,4587
92,4566
93,4624
94,4446
95,4577
96,4678
97,4639
98,4439
99,4435
