x,y
0,1112
1,937
2,1114
3,976
4,1032
5,1007
6,994
7,975
8,1041
9,990
10,1031
11,931
12,1032
13,982
14,936
15,963
16,1083
17,960
18,960
19,968
20,1050
21,993
22,1119
23,940
24,1019
25,1094
26,941
27,965
28,1040
29,977
30,1043
31,939
32,1059
33,993
34,962
35,993
36,1036
37,905
38,959
39,970
40,1166
41,982
42,962
43,955
44,1021
45,961
46,991
47,943
48,1057
49,998
50,1073
51,977
52,1048
53,931
54,944
55,1055
56,1125
57,987
58,979
59,938
60,1072
61,977
62,1032
63,1012
64,1077
65,985
66,958
67,966
68,1004
69,990
70,971
71,977
72,1074
73,979
74,963
75,1030
76,1012
77,948
78,967
79,942
80,1125
81,985
82,968
83,976
84,1048
85,940
86,923
87,1019
88,1082
89,975
90,1027
91,952
92,1069
93,985
94,944
95,979
96,1063
97,971
98,975
99,944
