x,y
0,999
1,1000
2,1000
3,1000
4,999
5,1000
6,1000
7,999
8,1000
9,999
10,1000
11,1001
12,1000
13,999
14,1000
15,1001
16,999
17,1000
18,1001
19,999
20,1001
21,1000
22,999
23,1000
24,1001
25,1000
26,999
27,1001
28,1000
29,999
30,1001
31,1000
32,1000
33,1000
34,1001
35,999
36,1000
37,1001
38,999
39,1000
40,1000
41,1000
42,1001
43,1000
44,999
45,1000
46,1001
47,999
48,1000
49,1001
50,999
51,1001
52,1000
53,999
54,1000
55,1001
56,1000
57,999
58,1001
59,1000
60,999
61,1001
62,1000
63,1000
64,1000
65,1001
66,999
67,1000
68,1001
69,999
70,1000
71,1000
72,1000
73,1001
74,1000
75,999
76,1000
77,1001
78,999
79,1000
80,1001
81,999
82,1001
83,1000
84,999
85,1000
86,1001
87,1000
88,999
89,1001
90,1000
91,999
92,1001
93,1000
94,1000
95,1000
96,1001
97,999
98,1000
99,1001
