x,y
0,1083
1,977
2,1019
3,980
4,976
5,1007
6,1047
7,996
8,987
9,987
10,1017
11,973
12,1037
13,989
14,1011
15,990
16,1042
17,957
18,1017
19,970
20,1021
21,970
22,1031
23,949
24,1001
25,1080
26,971
27,979
28,1042
29,988
30,1039
31,965
32,1032
33,970
34,994
35,981
36,1043
37,952
38,1005
39,989
40,1048
41,972
42,1008
43,1005
44,1015
45,1008
46,984
47,969
48,1039
49,1008
50,998
51,996
52,1028
53,958
54,952
55,981
56,1119
57,974
58,992
59,984
60,1007
61,986
62,986
63,1009
64,1025
65,1021
66,966
67,969
68,1004
69,989
70,1031
71,968
72,1068
73,1026
74,977
75,1004
76,998
77,972
78,965
79,1002
80,1044
81,961
82,1015
83,960
84,1042
85,992
86,940
87,1019
88,1051
89,1006
90,1010
91,957
92,1030
93,999
94,952
95,1005
96,1025
97,963
98,992
99,962
