index, amount, keys
0, 0, 
1, 0, 
2, 0, 
3, 0, 
4, 0, 
5, 0, 
6, 0, 
7, 0, 
8, 0, 
9, 0, 
10, 0, 
11, 0, 
12, 0, 
13, 1, A0
14, 1, A1
15, 1, A2
16, 1, A3
17, 1, A4
18, 1, A5
19, 1, A6
20, 1, A7
21, 1, A8
22, 1, A9
23, 0, 
24, 0, 
25, 0, 
26, 0, 
27, 0, 
28, 0, 
29, 0, 
30, 0, 
31, 0, 
32, 0, 
33, 0, 
34, 0, 
35, 0, 
36, 0, 
37, 0, 
38, 0, 
39, 0, 
40, 0, 
41, 0, 
42, 0, 
43, 0, 
44, 0, 
45, 0, 
46, 0, 
47, 0, 
48, 0, 
49, 0, 
50, 0, 
51, 0, 
52, 0, 
53, 0, 
54, 0, 
55, 0, 
56, 0, 
57, 0, 
58, 0, 
59, 0, 
60, 0, 
61, 0, 
62, 1, A10
63, 2, A11 A20
64, 3, A12 A21 A30
65, 4, A13 A22 A31 A40
66, 5, A14 A23 A32 A41 A50
67, 6, A15 A24 A33 A42 A51 A60
68, 7, A16 A25 A34 A43 A52 A61 A70
69, 8, A17 A26 A35 A44 A53 A62 A71 A80
70, 9, A18 A27 A36 A45 A54 A63 A72 A81 A90
71, 9, A19 A28 A37 A46 A55 A64 A73 A82 A91
72, 8, A29 A38 A47 A56 A65 A74 A83 A92
73, 7, A39 A48 A57 A66 A75 A84 A93
74, 6, A49 A58 A67 A76 A85 A94
75, 5, A59 A68 A77 A86 A95
76, 4, A69 A78 A87 A96
77, 3, A79 A88 A97
78, 2, A89 A98
79, 1, A99
80, 0, 
81, 0, 
82, 0, 
83, 0, 
84, 0, 
85, 0, 
86, 0, 
87, 0, 
88, 0, 
89, 0, 
90, 0, 
91, 0, 
92, 0, 
93, 0, 
94, 0, 
95, 0, 
96, 0, 
97, 0, 
98, 0, 
99, 0, 
